,values
275,0.1704356483516926
276,0.7477333528702192
277,0.005294178469811119
278,0.08540798112850156
279,0.003058974253917564
280,0.030088956255162103
281,0.03617731172808378
282,0.01298633813263102
283,0.018261382025309154
284,0.0689060380741667
285,0.02088299879227678
286,0.06300919030748081
287,0.011159410683412124
288,0.03972377507828738
289,0.036165229030759985
290,0.17502945789456814
291,0.3866309073054482
292,0.06897457748109688
293,0.05543891213742178
294,0.06478874049561854
295,0.36284020500180997
296,0.06109854404980377
297,0.05814430918704185
298,0.010856079902085031
299,0.11917866298937245
300,0.008505070878600671
301,0.17955135520446744
302,0.4733046691867921
303,0.011927197830289948
304,0.07717874878136907
305,0.08563937339812877
306,0.9608787511328434
307,0.16083952463200007
308,0.019531697207437144
309,0.3423210771464732
310,0.019159330647586598
311,0.1090321399198552
312,0.047899195517716445
313,0.17900413618136107
314,0.017593899692966652
315,0.4382820236300694
316,0.00993424766389539
317,0.01605843552253116
318,0.2539716172995018
319,0.3292614825789967
320,0.07364280478043403
321,0.5152256235230389
322,0.0979638065694227
323,0.8592382887749084
324,0.10492330418208977
325,0.21553851326388931
326,0.07996081439661314
327,0.11793123560953671
328,0.15535970203539323
329,0.001103442902650377
330,0.028816075228397464
331,0.0463663791814379
332,0.781045252379255
333,0.06948942825964877
334,0.4629524284882862
335,0.2229609101200539
336,0.031049842807118783
337,0.019086986986302863
338,0.01088679839644934
339,0.025368952020329516
340,0.06958452706570402
341,0.32367661379953305
342,0.30798885247720753
343,0.018519626990688237
344,0.39308331290002785
345,0.016732787610933393
346,0.028582104915637164
347,0.09231307506992648
348,0.4379379438237635
349,0.0037901004541865623
350,0.050123877923810345
351,0.014930239234060342
352,0.1265941949519644
353,0.001602666929467387
354,0.030584507702682274
355,0.1749256866820355
356,0.49702279591018794
357,0.3355556014485619
358,0.0055344873049565655
359,0.02281430558975773
360,0.008728096581889038
361,0.4944809114926854
362,0.07557303419289332
363,0.012627807604790426
364,0.01665142406120803
365,0.06866791317120355
366,0.311202868600441
367,0.005568053151046479
368,0.0046465215202350545
369,0.013636250984787227
370,0.09703023911275482
371,0.1305749705484098
372,0.048234576651510305
373,0.08061546313317461
374,0.0027661783422210967
375,0.048681860503935824
376,0.2762055735444261
377,0.029794066328927817
378,0.021162186781706373
379,0.3209168987188847
380,0.10028511732264445
381,0.32441395561071207
382,0.04971479990899672
383,0.2514127115982594
384,0.07621058641403011
385,0.07643909803542806
386,0.36849951029227823
387,0.04915206290085972
388,0.1127096791900822
389,0.1537589418154353
390,0.054122909095024596
391,0.027739328857044852
392,0.0005743215664194623
393,0.05078899855112969
394,0.019333530640044724
395,0.08802655790690214
396,0.017201651228967503
397,0.0025525610711568747
398,0.8516239651743852
399,0.19660829474920435
400,0.03192631062337008
401,0.10123074994456768
402,0.10113484275610321
403,0.034688273424837754
404,0.38580667348745257
405,0.016917215532095797
406,0.01279987328446008
407,0.010593289800020972
408,0.02345368666992758
409,0.10864784441427518
410,0.028662451588998515
411,0.1552421750822938
412,0.12150498662555202
413,0.08754908678343541
414,0.1325627568030799
415,0.1213415048957397
416,0.03663138267470224
417,0.018717359005926814
418,0.038058282069024715
419,0.023479853990236638
420,0.005984574477103733
421,0.01510257812344672
422,0.02142878581732881
423,0.4507697324564891
424,0.2603773149313765
425,0.03731280180623254
426,0.26725980826210743
427,0.07613133245439803
428,0.01647929789189524
429,0.049421637539257414
430,0.01275945515830638
431,0.022107045218370296
432,0.358486411512427
433,0.4428324694867678
434,0.2021017294255832
435,0.07363079896839377
436,0.052396268762230004
437,0.0029624114011197232
438,0.5351017609692877
439,0.014598160814158417
440,0.7441666999515076
441,0.13460318157330006
442,0.02083835688288335
443,0.006502770023825916
444,0.010731625115155291
445,0.0771652848509715
446,0.021063391856869014
447,0.47639131592989986
448,0.1775431423131421
449,0.021715387536943322
450,0.19583995158234732
451,0.21535408672762232
452,0.1691616577595966
453,0.2625366746529027
454,0.09475851749321904
455,0.04204937761851831
456,0.028867837395339584
457,0.006271826995631338
458,0.020165200256177795
459,0.16529908568834334
460,0.016862835027857747
461,0.1634920334602441
462,0.1818804143185408
463,0.4626539868526051
464,0.00249153765977479
465,0.9399748913905212
466,0.01996999440878508
467,0.12856634572899
468,0.02469679625307738
469,0.07027085787074257
470,0.4161623325959238
471,0.19461422013364812
472,0.05927766655057025
473,0.0864871193489716
474,0.5639006358421599
475,0.40864931270504873
476,0.2926244238601233
477,0.028124096389327093
478,0.07461137369332485
479,0.21288827692563542
480,0.13122062550255226
481,0.1308471853464112
482,0.021530773733254464
483,0.01350589311271791
484,0.03862043530246211
485,0.0026653647894952265
486,0.002331862690967507
487,0.10121885962252652
488,0.14221355710545575
489,0.04185073584052461
490,0.6693846045349479
491,0.04534245081550682
492,0.045035648355168295
493,0.06325787327219627
494,0.5548145767715574
495,0.06111205954125356
496,0.031415002558791
497,0.7562473967969497
498,0.06660125879340302
499,0.07661614695956973
500,0.05853663933829478
501,0.007814612493843123
502,0.2662889620527875
503,0.08360800192551454
504,0.2905901774365537
505,0.5268632459522441
506,0.17548777885263922
507,0.04844979629717914
508,0.05819094921619335
509,0.13845574087842066
510,0.43674262059529934
511,0.1376693675202884
512,0.0673532325100054
513,0.2400286491067567
514,0.04119447138088779
515,0.11993961794371695
516,0.4370104755406919
517,0.03198873992193731
518,0.02557914762346734
519,0.09779475147666525
520,0.25562317573915133
521,0.028488999768705774
522,0.055921914301968155
523,0.011553773049533245
524,0.09222112047973206
525,0.008277133049308966
526,0.01846381052319497
527,0.14007084802616326
528,0.011224566072201536
529,0.10440272008430848
530,0.016977731623197743
531,0.07294801466989657
532,0.3390584377775264
533,0.04697052799132509
534,0.060860740056573034
535,0.20952849167731621
536,0.0031528327350204
537,0.056720628700689134
538,0.13648809761833672
539,0.7388313241441093
540,0.032174219671198025
541,0.008241039040152442
542,0.013099017691484341
543,0.010822984191168927
544,0.02979455410328643
545,0.007509398762030851
546,0.23759646621849936
547,0.014436309348863688
548,0.08273856000804322
549,0.2219151464750661
550,0.006023500808254998
551,0.10255405835730824
552,0.09340657330201022
