,values
299,0.0030649315022577787
300,7.57222293414045e-08
301,0.05555319635004962
302,0.8305007189334815
303,1.0358311274316907e-10
304,0.04097343808731289
305,0.0003958977673316092
306,0.327584777634654
307,0.017167975192951053
308,4.601513011077685e-08
309,0.9534423157906088
310,3.47783137455631e-09
311,0.001100340302766512
312,1.5423115772557084e-06
313,1.2190481956361436e-07
314,4.330325701140667e-07
315,0.006242298014524788
316,8.037962761239319e-12
317,3.899460439325748e-09
318,2.6983763029961666e-05
319,0.011162727531907078
320,0.004499319736904504
321,0.9989263883727613
322,8.205675405520836e-12
323,0.9999998633306384
324,0.0035217143304946703
325,1.4559296306215992e-05
326,0.932839129895575
327,0.007045633218274335
328,2.3726114965625173e-06
329,2.460921400858434e-09
330,1.3917726545619071e-06
331,8.482357342923993e-05
332,0.9880711647294796
333,0.01993670767327484
334,0.9911114703188807
335,0.03783645885186143
336,2.4689778619958156e-06
337,2.2270240974590593e-06
338,9.951537432450643e-09
339,4.022480354426046e-09
340,4.288980586472281e-05
341,2.4607575902252807e-05
342,0.6134668292280289
343,2.9253877803104435e-07
344,0.5026813976028034
345,1.706091763595827e-08
346,3.3404912112719734e-06
347,3.799995690810652e-07
348,1.951996464463224e-06
349,4.2127676124192706e-08
350,2.221340785461088e-08
351,1.4293057722849527e-09
352,7.235289686816077e-07
353,1.387825746321658e-13
354,1.6635791820944044e-05
355,0.007833123718834812
356,0.010399101439843732
357,0.0004249329530131212
358,7.456336548646631e-10
359,4.756285301172207e-09
360,0.0008569234984121131
361,0.9975764998055484
362,1.7826121906086527e-06
363,3.7276563864707793e-10
364,5.034667255728664e-10
365,6.334311509403374e-07
366,0.0007946833999403085
367,2.5943470350449177e-06
368,1.576610250159347e-11
369,2.8500032774210945e-09
370,0.00566658581574662
371,0.0009100519361140002
372,4.9815163858780555e-08
373,3.322541499854685e-08
374,2.516790763165947e-07
375,0.0013170095931329686
376,0.0002462098910209372
377,0.0009607082299590573
378,1.913335942170275e-10
379,0.9997006067031319
380,0.9931582509689288
381,0.008371673125481037
382,0.0005284968657902035
383,0.0005711746992628721
384,7.366449870931519e-10
385,1.1780950510358394e-05
386,0.00011356162407455297
387,0.0015573496106476411
388,4.62816135183617e-06
389,0.24236949556362572
390,2.7721967910566126e-07
391,0.0001334106418942951
392,2.1816160794913355e-08
393,1.9582618395512136e-06
394,6.311946689321796e-07
395,0.007609129316154816
396,5.077624394336095e-11
397,3.403892594328416e-10
398,0.9978005228289714
399,0.043531124012322515
400,1.600501695522857e-07
401,0.8805639384222598
402,0.0003312310547748444
403,1.1213679481352605e-07
404,0.2827826543191758
405,8.704660085186538e-06
406,3.985095356525816e-14
407,4.24827087670687e-06
408,1.1249714069889354e-09
409,2.24323854584734e-06
410,1.2136546581393438e-09
411,1.227751604397262e-05
412,1.0553208017312897e-05
413,0.0001566833163233446
414,8.539323183306804e-05
415,2.5507069853461296e-07
416,1.9662839608411262e-13
417,3.6049539307560976e-07
418,1.0837098314377833e-08
419,0.00010455872241562072
420,8.599673901324664e-10
421,3.5358629051251978e-09
422,1.3910521461769087e-07
423,7.568556838902113e-05
424,0.004160349802305436
425,0.983709220141619
426,4.4706287338133024e-08
427,2.8989296025367655e-08
428,5.929095791770776e-11
